"date","alertedSensor","sound","humidity","pressure","temperature","picture","pitch","yaw","roll"
"2020-11-12T03:07:51Z","null","null",29,601,25,"null","","",""
"2020-11-12T03:07:57Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:02Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:14Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:19Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:24Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:30Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:35Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:40Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:47Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:52Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:08:57Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:09:08Z","null","null",29,601,25,"null","","",""
"2020-11-12T03:09:14Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:09:19Z","null","null",29,601,25,"null","","",""
"2020-11-12T03:09:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:09:32Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:09:42Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:09:48Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:09:53Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:09:59Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:04Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:09Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:15Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:20Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:26Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:31Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:37Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:42Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:48Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:53Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:10:59Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:04Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:09Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:15Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:20Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:31Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:36Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:42Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:47Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:52Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:11:58Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:03Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:14Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:20Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:25Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:30Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:36Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:41Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:46Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:12:57Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:02Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:13Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:18Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:24Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:29Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:34Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:40Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:45Z","null","null",30,600,25,"null","","",""
"2020-11-12T03:13:51Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:13:56Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:14:02Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:14:08Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:14:13Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:14:24Z","null","null",30,601,25,"null","","",""
"2020-11-12T03:14:29Z","null","null",30,601,25,"null","","",""
